Disease,Description,Communicable,Commvia,Symptoms,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Link
Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,0,,"itching, skin rash, stomach pain, burning micturition, spotting urination",stop irritation,consult nearest hospital,stop taking drug,follow up,https://medlineplus.gov/drugreactions.html
Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,0,,"chills, vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain",Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,https://www.who.int/news-room/fact-sheets/detail/malaria
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",0,,"continuous sneezing, shivering, chills, watering from eyes",apply calamine,cover area with bandage,,use ice to compress itching,"https://www.mayoclinic.org/diseases-conditions/allergies/symptoms-causes/syc-20351497#:~:text=Allergies%20occur%20when%20your%20immune,produces%20substances%20known%20as%20antibodies."
Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",0,,"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",reduce stress,exercise,eat healthy,get proper sleep,"https://www.mayoclinic.org/diseases-conditions/hypothyroidism/symptoms-causes/syc-20350284#:~:text=the%20body%20makes.-,Hypothyroidism%20happens%20when%20the%20thyroid%20gland%20doesn't%20make%20enough,autoimmune%20disease%20called%20Hashimoto's%20disease."
Psoriasis,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",0,," skin rash, joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"https://www.mayoclinic.org/diseases-conditions/psoriasis/symptoms-causes/syc-20355840#:~:text=Psoriasis%20is%20a%20skin%20disease,make%20it%20hard%20to%20concentrate."
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",1,"GERD caused by pylori is contagious person-to-person through either fecal/oral exposure (such as eating contaminated food or drinking contaminated water, or swimming in contaminated bodies of water) or oral/oral exposure (such as kissing or sharing toothbrushes).","ulcers on tongue , stomach pain, acidity, vomitting, cough, chest pain",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"https://www.mayoclinic.org/diseases-conditions/gerd/symptoms-causes/syc-20361940#:~:text=Gastroesophageal%20reflux%20disease%20(GERD)%20occurs,reflux%20from%20time%20to%20time."
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",0,," itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",cold baths,anti itch medicine,consult doctor,eat healthy,https://www.healthline.com/health/cholestasis
hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,1,"Hepatitis A can be spread from close, personal contact with an infected person, such as through certain types of sexual contact (like oral-anal sex), caring for someone who is ill, or using drugs with others. Hepatitis A is very contagious, and people can even spread the virus before they feel sick."," joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain",Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,https://www.who.int/news-room/fact-sheets/detail/hepatitis-a
Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",0,,"itching,skin rash,nodal  skin eruptions,dischromic patches",acetaminophen,consult nearest hospital,follow up,salt baths,https://www.healthline.com/health/fungal-infection
(vertigo) Paroymsal Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo â€” the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,0,,"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness",lie down,avoid sudden change in body,avoid abrupt head movment,relax,https://www.webmd.com/brain/vertigo-symptoms-causes-treatment
Hypoglycemia,Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions â€” many rare â€” can cause low blood sugar in people who don't have diabetes.,0,,"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, irritability, slurred speech, palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor,"https://www.mayoclinic.org/diseases-conditions/hypoglycemia/symptoms-causes/syc-20373685#:~:text=Hypoglycemia%20is%20a%20condition%20in,who%20don't%20have%20diabetes."
Acne,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",0,,"skin rash, pus filled pimples, blackheads, scurring",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047
Diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",0,,"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",have balanced diet,exercise,consult doctor,follow up,https://www.cdc.gov/diabetes/basics/diabetes.html
Impetigo,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.",1,"Impetigo can spread to anyone who touches infected skin or items that have been touched by infected skin (such as clothing, towels, and bed linens). It can be itchy, so kids also can spread the infection when they scratch it and then touch other parts of their body.","skin rash, nigh fever, blister, red sore around nose, yellow crust zone",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,https://www.healthline.com/health/impetigo
Hypertension,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",0,,"headache, chest pain, dizziness, loss of balance, lack of concentration",meditation,salt baths,reduce stress,get proper sleep,https://www.mayoclinic.org/diseases-conditions/high-blood-pressure/symptoms-causes/syc-20373410
Peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",0,,"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"https://www.mayoclinic.org/diseases-conditions/peptic-ulcer/symptoms-causes/syc-20354223#:~:text=A%20peptic%20ulcer%20is%20a,lower%20part%20of%20your%20esophagus."
Dimorphic hemorrhoids(piles),"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease .",0,,"constipation, pain during bowel movements, pain in anal region, bloody stool, irritation in anus",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,"https://www.nhs.uk/conditions/piles-haemorrhoids/#:~:text=Piles%20(haemorrhoids)%20are%20lumps%20inside,to%20treat%20and%20prevent%20piles."
Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",1,Viruses that cause colds can spread from infected people to others through the air and close personal contact. You can also get infected through contact with stool (poop) or respiratory secretions from an infected person.,"continous sneezing, chills, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat infection, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,https://www.healthline.com/health/cold-flu/cold
Chicken pox,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",1,"Chickenpox spreads very easily by touching chickenpox blisters or through the air when someone with chickenpox coughs or sneezes. The virus does not live long on surfaces. Once someone comes in contact with the virus, it usually takes about 2 weeks for chickenpox to appear, but it can range from 10 to 21 days"," itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body",use neem in bathing,consume neem leaves,take vaccine,avoid public places,https://www.mayoclinic.org/diseases-conditions/chickenpox/symptoms-causes/syc-20351282
Cervical spondylosis,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",0,," back pain, weakness in limbs, neck pain, dizziness, loss of balance",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,https://www.healthline.com/health/cervical-spondylosis
Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",0,," fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment,https://www.healthline.com/health/hyperthyroidism
Urinary tract infection,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",0,," burning micturition,  bladder discomfort,  foul smell of urine, continuous feel of urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,https://www.healthline.com/health/urinary-tract-infection-adults
Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",0,," fatigue, cramps bruising obesity, swollen legs, swollen blood vessels, prominent veins on calf",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,https://www.healthline.com/health/varicose-veins
AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",1,"AIDS (acquired immune deficiency syndrome) is caused by HIV(human immunodeficiency virus). HIV may be passed from one person to another when infected blood, semen, or vaginal secretions come in contact with an uninfected person's broken skin or mucous membranes."," muscle wasting, patches in throat, high fever, extra marital contacts",avoid open cuts,wear ppe if possible,consult doctor,follow up,"https://www.mayoclinic.org/diseases-conditions/hiv-aids/symptoms-causes/syc-20373524#:~:text=Acquired%20immunodeficiency%20syndrome%20(AIDS)%20is,to%20fight%20infection%20and%20disease."
Paralysis (brain hemorrhage),"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.",0,,"vomiting, headache, weakness of one body site, altered sensorium",massage,eat healthy,exercise,consult doctor,https://www.who.int/news-room/fact-sheets/detail/malaria
Typhoid,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",1,Typhoid fever can be acquired by eating food or drinking water that's contaminated with feces. This often happens due to someone not washing their hands after going to the bathroom. You can also get typhoid fever through close contact with someone who has it.,"chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain",eat high calorie vegitables,antiboitic therapy,consult doctor,medication,https://www.mayoclinic.org/diseases-conditions/typhoid-fever/symptoms-causes/syc-20378661
Hepatitis B,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",1,"Hepatitis B virus can be found in the blood and, to a lesser extent, saliva, semen and other body fluids of an infected person. It is spread by direct contact with infected body fluids; usually by needle stick injury or sexual contact. Hepatitis B virus does not spread by casual contact.","itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",consult nearest hospital,vaccination,eat healthy,medication,https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",1,"Fungal infections can spread from one person to another. In some cases, you can also catch disease-causing fungi from infected animals or contaminated soil or surfaces. Infections are spread by direct skin contact (with humans or animals), or indirectly from contaminated articles on floors or in the soil. Shared changing rooms and showers are often a source of tinea, while some infections are spread by sharing of items such as towels.","itching,skin rash,nodal  skin eruptions,dischromic patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,https://www.healthline.com/health/fungal-infection
Hepatitis C,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",1,"Hepatitis C virus is usually spread when someone comes into contact with blood from an infected person. This can happen through sharing drug-injection, needles, syringes, or any other equipment used to prepare and inject drugs."," fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",Consult nearest hospital,vaccination,eat healthy,medication,https://www.who.int/news-room/fact-sheets/detail/hepatitis-c
Migraine,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",0,," acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances",meditation,reduce stress,use poloroid glasses in sun,consult doctor,https://www.healthline.com/health/migraine
Bronchial Asthma,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",0,,"fatigue, cough, high fever, breathlessness, family history, mucoid sputum",switch to loose cloothing,take deep breaths,get away from trigger,seek help,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2696883/#:~:text=Bronchial%20asthma%20is%20a%20chronic,variable%20degree%20of%20airway%20obstruction."
Alcoholic hepatitis,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",0,,"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload",stop alcohol consumption,consult doctor,medication,follow up,https://www.healthline.com/health/alcoholic-hepatitis
Jaundice,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",0,,"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,"https://my.clevelandclinic.org/health/diseases/15367-adult-jaundice#:~:text=Jaundice%20is%20a%20condition%20in,t%20need%20to%20be%20treated."
Hepatitis E,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,1,"HEV is found in the stool of an infected person. It is spread when someone unknowingly ingests the virus – even in microscopic amounts. In developing countries, people most often get hepatitis E from drinking water contaminated by feces from people who are infected with the virus."," joint pain, vomiting, yellowish skin, high fever, dark urine, nausea, loss of appetite, fatigue, abdominal pain, yellowing of eyes, acute liver failure, stomach bleeding, coma",stop alcohol consumption,rest,consult doctor,medication,https://www.who.int/news-room/fact-sheets/detail/hepatitis-e
Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. â€” called also breakbone fever, dengue fever.",0,,"skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,https://www.cdc.gov/dengue/index.html
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",1,"Hepatitis D is spread when blood or other body fluids from a person infected with the virus enters the body of someone who is not infected. This can happen through sharing drug-injection, needles, syringes, or any other equipment used to prepare and inject drugs."," joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, fatigue, abdominal pain, yellowing of eyes",consult doctor,medication,eat healthy,follow up,https://www.who.int/news-room/fact-sheets/detail/hepatitis-d
Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",0,,"vomiting, breathlessness, sweating, chest pain",call ambulance,chew or swallow asprin,keep calm,,https://www.cdc.gov/heartdisease/heart_attack.htm
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",1,"Pneumonia is contagious just like a cold or flu when it is caused by infectious microbes. However, pneumonia is not contagious when the cause is related to a type of poisoning like inhalation of chemical fumes.","chills, fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum",consult doctor,medication,rest,follow up,"https://www.mayoclinic.org/diseases-conditions/pneumonia/symptoms-causes/syc-20354204#:~:text=Pneumonia%20is%20an%20infection%20that,and%20fungi%2C%20can%20cause%20pneumonia."
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",0,,"muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking",exercise,use hot and cold therapy,try acupuncture,massage,"https://www.mayoclinic.org/diseases-conditions/arthritis/symptoms-causes/syc-20350772#:~:text=Arthritis%20is%20the%20swelling%20and,are%20osteoarthritis%20and%20rheumatoid%20arthritis."
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",1,"Viral gastroenteritis can spread when a person comes in contact with the vomit or feces (poo) of an infected person, including: person-to-person contact, for example shaking hands with someone who has been sick and has the virus on their hands"," vomiting, sunken eyes, dehydration, diarrhoea",stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"https://medlineplus.gov/gastroenteritis.html#:~:text=What%20is%20gastroenteritis%3F,dehydration%20or%20cause%20severe%20symptoms."
Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",1,"TB bacteria spread through the air from one person to another. When a person with TB disease of the lungs or throat coughs, speaks, or sings, TB bacteria can get into the air. People nearby may breathe in these bacteria and become infected.","chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",cover mouth,consult doctor,medication,rest,"https://www.mayoclinic.org/diseases-conditions/tuberculosis/symptoms-causes/syc-20351250#:~:text=Tuberculosis%20(TB)%20is%20a%20potentially,air%20via%20coughs%20and%20sneezes."